run_id,is_synthetic,session,timestamp,elapsed_smoking_min,remaining_min,remaining_min_from_heat,remaining_min_from_weight,remaining_min_gated,start_weight_g,dht11_temp_c,dht11_humidity_pct,oven_temp_c,mq6_adc,mq6_ratio,weight_g,weight_corrected_g,weight_smooth_g,weight_loss_from_start_g,moisture_removed_frac,target_loss_frac,weight_progress_frac,drying_rate_g_per_min,oven_deg_h,target_oven_deg_h,heat_progress_frac,target_hours
catfish_3342g,0,catfish_main,2026-08-31 11:46:40.000000,0.0,28.833333333333332,127.2494791666667,6406.000000000004,6406.000000000004,3342.3,30.1,53.0,28.25,687.0,18.22,3342.3,3342.3,3336.9,0.0,0.0,0.09583221135146461,0.0,0.0,0.0,169.66597222222228,0.0,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:46:45.000000,0.08333333333333333,28.75,127.22005208333339,6378.000000000002,6378.000000000002,3342.3,30.1,53.1,28.25,688.0,18.26,3340.9,3340.9,3338.8,1.400000000000091,0.0004188732310086141,0.09583221135146461,0.004370902279113613,0.0,0.03923611111111111,169.66597222222228,0.00023125503951800712,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:46:50.000000,0.16666666666666666,28.666666666666664,127.19062500000004,6443.999999999996,6443.999999999996,3342.3,30.2,53.1,28.25,687.0,18.13,3344.2,3344.2,3339.8500000000004,-1.8999999999996362,-0.0005684708135115448,0.09583221135146461,0.0,0.0,0.07847222222222222,169.66597222222228,0.00046251007903601424,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:46:55.000000,0.25,28.583333333333332,127.16145833333339,6218.000000000002,6218.000000000002,3342.3,30.2,53.1,28.0,691.0,18.16,3332.9,3332.9,3340.9,9.400000000000091,0.002812434551057682,0.09583221135146461,0.029347486731189778,0.0,0.11736111111111111,169.66597222222228,0.0006917186137795257,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:00.000000,0.3333333333333333,28.5,127.1315104166667,6150.0,6150.0,3342.3,30.2,53.1,28.75,693.0,17.88,3329.5,3329.5,3341.6000000000004,12.800000000000182,0.003829698112078563,0.09583221135146461,0.03996253512332243,12.599999999999454,0.15729166666666666,169.66597222222228,0.0009270666628465241,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:05.000000,0.4166666666666667,28.416666666666664,127.10208333333335,6218.000000000002,6218.000000000002,3342.3,30.2,53.1,28.25,692.0,17.78,3332.9,3332.9,3342.3,9.400000000000091,0.002812434551057682,0.09583221135146461,0.029347486731189778,12.599999999996724,0.19652777777777777,169.66597222222228,0.0011583217023645313,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:10.000000,0.5,28.333333333333332,127.07239583333339,6336.000000000004,6336.000000000004,3342.3,30.2,53.1,28.5,719.0,17.27,3338.8,3338.8,3343.25,3.5,0.0010471830775214673,0.09583221135146461,0.010927255697783323,11.999999999997272,0.2361111111111111,169.66597222222228,0.001391623246657034,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:15.000000,0.5833333333333334,28.25,127.04244791666673,7411.999999999998,7411.999999999998,3342.3,30.2,53.1,28.75,695.0,18.07,3392.6,3392.6,3367.95,-50.29999999999973,-0.015049516799808432,0.09583221135146461,0.0,12.599999999996724,0.2760416666666667,169.66597222222228,0.0016269712957240326,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:20.000000,0.6666666666666666,28.166666666666664,127.01302083333339,7411.999999999998,7411.999999999998,3342.3,30.2,53.1,28.25,691.0,17.63,3310.6,3392.6,3391.75,-50.29999999999973,-0.015049516799808432,0.09583221135146461,0.0,12.599999999999454,0.31527777777777777,169.66597222222228,0.0018582263352420394,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:25.000000,0.75,28.083333333333332,126.9830729166667,7403.999999999996,7403.999999999996,3342.3,30.3,53.1,28.75,693.0,17.97,3310.2,3392.2,3392.0,-49.899999999999636,-0.014929838733805953,0.09583221135146461,0.0,12.599999999996724,0.35520833333333335,169.66597222222228,0.002093574384309038,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:30.000000,0.8333333333333334,28.0,126.95312500000004,7396.000000000004,7396.000000000004,3342.3,30.3,53.1,28.75,699.0,17.91,3309.8,3391.8,3392.0,-49.5,-0.014810160667803607,0.09583221135146461,0.0,11.999999999997272,0.39513888888888893,169.66597222222228,0.0023289224333760366,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:35.000000,0.9166666666666666,27.916666666666664,126.92239583333338,7413.999999999996,7413.999999999996,3342.3,30.3,53.1,29.5,699.0,17.78,3310.7,3392.7,3392.0,-50.399999999999636,-0.015079436316309019,0.09583221135146461,0.0,11.399999999997819,0.43611111111111117,169.66597222222228,0.002570409996766522,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:40.000000,1.0,27.833333333333332,126.88984375000003,7393.999999999996,7393.999999999996,3342.3,30.3,53.1,31.25,701.0,17.57,3309.7,3391.7,3392.0,-49.399999999999636,-0.014780241151302885,0.09583221135146461,0.0,9.900000000000547,0.47951388888888896,169.66597222222228,0.0028262230935784767,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:45.000000,1.0833333333333333,27.75,126.85364583333337,7410.0,7410.0,3342.3,30.3,53.1,34.75,705.0,17.63,3310.5,3392.5,3392.0,-50.19999999999982,-0.015019597283307847,0.09583221135146461,0.0,8.400000000003276,0.5277777777777779,169.66597222222228,0.003110687257233371,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:50.000000,1.1666666666666667,27.666666666666664,126.81328125000005,7406.000000000004,7406.000000000004,3342.3,30.3,53.1,38.75,706.0,17.42,3310.3,3392.3,3391.75,-50.0,-0.014959758250306675,0.09583221135146461,0.0,8.400000000000546,0.5815972222222223,169.66597222222228,0.0034278954972801947,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:47:55.000000,1.25,27.583333333333332,126.76822916666671,7338.000000000002,7338.000000000002,3342.3,30.4,53.1,43.25,705.0,17.57,3306.9,3388.9,3391.55,-46.59999999999991,-0.013942494689285793,0.09583221135146461,0.0,8.399999999997814,0.6416666666666667,169.66597222222228,0.0037819408232679396,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:48:00.000000,1.3333333333333333,27.5,126.7174479166667,7388.000000000002,7388.000000000002,3342.3,30.4,53.2,48.75,707.0,17.48,3309.4,3391.4,3390.8,-49.09999999999991,-0.014690482601801128,0.09583221135146461,0.0,5.699999999998906,0.7093750000000001,169.66597222222228,0.004181009254294589,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:48:05.000000,1.4166666666666667,27.416666666666664,126.6604166666667,7363.999999999996,7363.999999999996,3342.3,30.4,53.2,54.75,718.0,17.78,3308.2,3390.2,3389.7,-47.899999999999636,-0.014331448403793684,0.09583221135146461,0.0,2.9999999999999987,0.7854166666666668,169.66597222222228,0.004629193799909134,0.4805555555555555
catfish_3342g,0,catfish_main,2026-08-31 11:48:10.000000,1.5,27.333333333333332,126.59661458333336,7343.999999999996,7343.999999999996,3342.3,30.4,53.2,61.25,709.0,17.1,3307.2,3389.2,3389.05,-46.899999999999636,-0.014032253238787552,0.09583221135146461,0.0,1.4999999999999993,0.8704861111111112,169.66597222222228,0.0051305874696605655,0.4805555555555555
